Name,Phone_Number,Experience,Qualification,University,Role,Cert,Date_Of_Birth,Salary
Russell Medina,310-364-6925,5,Msc,Tier2,Senior,No,20/03/1989,116500
Stephen Colon,401-249-3912,3,PhD,Tier1,Junior,,21/03/1989,81500
Nichole Herrera,875-546-2104,2,Bsc,Tier3,Junior,Yes,22/03/1989,70500
Pamela Baker,408-955-5085,2,PhD,Tier2,Junior,No,23/03/1989,81500
Daniel Mays,463-644-2586,5,Msc,Tier2,Senior,Yes,24/03/1989,123500
Alexa Allen,834-471-9255,4,Bsc,Tier3,Senior,Yes,04/04/1974,113500
Wendy Garcia,801-100-2268,5,Bsc,Tier1,Senior,Yes,05/04/1974,107500
Donna Johnson,265-390-8083,3,Bsc,Tier1,Mid,No,06/04/1974,75000
Jerry Villa,490-779-7213,2,PhD,Tier1,Mid,No,07/04/1974,95000
Allen Frank PhD,259-465-8631,2,Bsc,Tier2,Junior,No,29/05/1970,57500
Catherine Hunter,850-935-7118,1,Bsc,Tier1,Junior,Yes,11/04/1990,56500
Donald Perkins,708-475-1763,,PhD,Tier2,Senior,No,12/04/1990,128500
Julie Harrington,449-564-6990,5,Msc,Tier1,Senior,Yes,30/06/1972,119500
Brent Alvarez,843-373-0604,5,Bsc,Tier1,Senior,Yes,01/05/1982,107500
Julie Howell,319-020-9340,1,Bsc,Tier2,Junior,No,05/12/1979,53500
Fernando Bryan,751-806-7172,,Msc,Tier1,Junior,Yes,08/02/1988,68500
Joseph Farmer,577-309-3413,1,Bsc,Tier3,Junior,Yes,10/07/1987,66500
Joseph Moore,211-212-4864,3,Bsc,Tier1,Mid,Yes,11/07/1987,82000
Laurie Murray,281-972-3370,1,Bsc,Tier3,Junior,No,12/07/1987,59500
Christina Horne,294-492-0454,1,Bsc,Tier3,Junior,Yes,13/07/1987,66500
Kathy Anderson,991-975-1151,3,Bsc,Tier2,Mid,No,14/07/1987,79000
Nicole Griffin,945-212-9340,4,Msc,Tier1,Senior,Yes,19/08/1972,115500
Terry Sanchez,290-675-8032,3,PhD,Tier1,Mid,Yes,20/08/1972,106000
Jacob Curtis,814-153-9555,1,PhD,Tier2,Mid,Yes,22/12/2021,102000
Colton Nelson,559-685-8692,1,Msc,Tier2,Junior,No,22/11/2020,65500
Juan Brown,734-334-9685,3,Bsc,Tier3,Mid,No,14/07/1986,85000
Christopher Alexander,321-025-8802,4,Bsc,Tier2,Senior,Yes,22/01/2006,107500
Alicia Porter,184-963-3202,4,Bsc,Tier2,Senior,Yes,16/10/1986,107500
Debra Contreras,341-195-9456,4,PhD,Tier2,Senior,Yes,20/08/2021,131500
Audrey White,116-947-4040,2,PhD,Tier3,Junior,No,24/04/1989,87500
Justin Tapia,632-902-8797,3,Bsc,Tier2,Mid,No,18/06/1996,79000
Dustin Gonzalez,466-796-3464,5,Msc,Tier2,Senior,No,07/08/1986,116500
Vincent Dickson,512-319-9324,1,Msc,Tier1,Junior,Yes,10/08/1995,68500
Richard Ewing,728-719-3020,3,Msc,Tier1,Mid,No,14/01/1998,87000
Courtney Bean,297-387-3910,4,Bsc,Tier3,Senior,Yes,21/04/1979,113500
Kimberly Holt,688-660-2010,2,Msc,Tier1,Junior,No,22/03/2002,65500
Shawn Atkinson,521-063-7189,5,Bsc,Tier1,Senior,Yes,21/03/1994,107500
Katherine Miller,627-926-7659,5,Bsc,Tier3,Senior,No,23/04/1985,110500
Kelly Martin,729-230-7132,3,Msc,Tier1,Junior,No,30/06/2011,69500
Trevor Simpson,914-940-1661,5,Msc,Tier3,Senior,Yes,25/01/1991,129500
Kevin Smith,757-431-3516,5,PhD,Tier2,Senior,Yes,26/01/1991,135500
Samantha Giles PhD,984-139-5243,5,Bsc,Tier1,Senior,Yes,27/01/1991,107500
Juan Cox,403-446-5514,1,Bsc,Tier1,Junior,Yes,02/05/1974,56500
Christopher Olson,685-767-6795,3,Msc,Tier1,Mid,Yes,02/04/2002,94000
Madeline Holmes,187-001-2664,5,Msc,Tier1,Senior,No,11/12/1986,112500
Thomas Ellis,944-695-1314,1,Msc,Tier2,Junior,No,21/11/1978,65500
Lauren Young,739-309-4821,5,PhD,Tier3,Senior,Yes,28/03/1971,141500
Timothy Cisneros,151-404-8701,3,Bsc,Tier2,Mid,Yes,05/08/1977,86000
Anita Anderson,615-620-8027,2,Bsc,Tier3,Junior,No,06/08/1977,63500
Heather Miller,881-912-9126,1,Bsc,Tier3,Junior,No,21/12/2000,59500
Nicholas Stafford,505-217-1313,2,Bsc,Tier2,Mid,No,13/12/1979,75000
Monica Murphy,270-910-7493,4,PhD,Tier2,Senior,Yes,05/06/1992,131500
Mr. Seth Terry,834-676-2346,4,Bsc,Tier3,Senior,No,08/06/1997,106500
John Kramer,651-636-6807,2,Bsc,Tier2,Junior,No,08/10/2002,57500
Jeanette Ferguson,249-418-4183,5,Bsc,Tier3,Senior,No,02/02/1990,110500
Paula Smith,703-864-0805,1,PhD,Tier1,Junior,Yes,03/02/1990,80500
Michael Archer,677-341-8713,5,Msc,Tier2,Senior,Yes,08/03/1998,123500
Adam Franco,806-451-3840,3,PhD,Tier1,Mid,Yes,28/10/1972,106000
Maurice Cruz,602-421-1533,5,Bsc,Tier3,Senior,Yes,29/10/1972,117500
Erik Meyers,127-510-4942,1,Msc,Tier2,Junior,Yes,15/08/2003,72500
Kevin Thomas,648-067-6183,2,Bsc,Tier3,Junior,No,15/05/1979,63500
Ana Stanley,931-516-1305,4,Msc,Tier1,Senior,No,13/04/2003,108500
Christopher Parker,336-016-9055,5,Msc,Tier1,Senior,No,19/03/1991,112500
Jason Doyle,821-492-1511,2,Msc,Tier2,Mid,No,12/12/1981,87000
Kristen King,225-079-5000,4,Bsc,Tier3,Senior,No,15/12/1999,106500
Sean Gilbert,896-683-6187,4,Bsc,Tier3,Senior,Yes,16/12/1999,113500
Richard Cortez,757-693-7853,4,Bsc,Tier1,Senior,Yes,01/11/1983,103500
Shane Hayes,897-917-9551,3,Bsc,Tier3,Junior,Yes,14/01/1972,74500
Kathleen Gutierrez,880-500-3179,5,Msc,Tier2,Senior,Yes,07/07/1986,123500
Helen Flores,789-019-2142,3,Bsc,Tier3,Junior,Yes,05/12/1999,74500
Lindsey Bauer,447-172-8422,2,Msc,Tier3,Mid,Yes,26/08/1972,100000
Dr. Eric Montoya,552-846-2710,5,PhD,Tier2,Senior,No,14/11/2014,128500
Mason Jacobson,321-900-1808,4,Msc,Tier1,Senior,Yes,22/09/1973,115500
Joshua Harper,395-664-7246,4,Bsc,Tier3,Senior,Yes,23/09/1973,113500
Michelle Kirby,884-374-4089,5,PhD,Tier1,Senior,Yes,24/09/1973,131500
Anna Ford,864-013-9556,1,PhD,Tier3,Mid,No,25/09/1973,101000
Claudia Mcguire,477-138-1223,5,Bsc,Tier1,Senior,Yes,26/09/1973,107500
Drew Solis,388-552-5735,2,Bsc,Tier1,Mid,No,27/09/1973,71000
Michael Hayes,560-075-4015,5,Msc,Tier1,Senior,Yes,28/09/1973,119500
Pamela Mcdowell,611-851-9023,4,Bsc,Tier1,Mid,No,13/01/1995,79000
Julian Torres,519-282-3030,4,PhD,Tier3,Senior,No,14/01/1995,130500
Tristan Lawrence,108-639-7444,5,Bsc,Tier2,Senior,Yes,01/07/1973,111500
Laura Rodriguez,528-704-1105,4,PhD,Tier1,Senior,No,30/03/1988,120500
Kristin Freeman,495-440-2789,4,Bsc,Tier1,Mid,No,24/08/2007,79000
Brian Lawson,369-193-1442,3,Bsc,Tier2,Junior,No,05/03/1980,61500
Jeffrey Stephenson,387-025-9585,5,Msc,Tier2,Senior,No,06/06/1995,116500
Holly Allen,317-603-3878,5,Bsc,Tier3,Senior,No,16/04/1974,110500
Carly Gonzalez,251-622-5409,1,Bsc,Tier1,Junior,No,17/10/2010,49500
Jennifer Poole,786-293-8124,5,Msc,Tier1,Senior,No,05/12/2008,112500
Amanda Caldwell,908-486-7080,1,Bsc,Tier3,Junior,Yes,22/02/1986,66500
Shannon Peterson,551-579-2071,2,Bsc,Tier1,Mid,No,23/12/1976,71000
Daniel Brown,228-512-3145,5,Bsc,Tier1,Senior,No,14/12/1989,100500
Brian Preston,434-990-5059,5,PhD,Tier1,Senior,No,02/02/1995,124500
Eric Smith,268-668-9036,5,Bsc,Tier3,Senior,Yes,16/05/1979,117500
Lori Scott,971-670-2994,3,Bsc,Tier1,Junior,No,30/06/2002,57500
Tyler Bailey,420-213-5389,5,Bsc,Tier2,Senior,No,15/10/1987,104500
James Rogers,885-313-9339,4,Bsc,Tier1,Mid,Yes,16/10/1987,86000
Belinda Bennett,290-519-6054,2,PhD,Tier2,Mid,No,17/10/1987,99000
Mr. Anthony Smith,714-543-4659,2,PhD,Tier2,Junior,Yes,18/10/1987,88500
Colton Smith,506-675-8889,1,PhD,Tier3,Mid,Yes,19/10/1987,108000
Benjamin Hernandez,308-402-4852,5,Msc,Tier2,Senior,No,02/12/1975,116500
Katherine Morton,929-838-5203,5,Msc,Tier3,Senior,Yes,30/10/1973,129500
Brent Rollins,264-285-7066,1,Bsc,Tier2,Junior,Yes,29/03/1975,60500
Craig Bell,981-774-1307,3,Msc,Tier2,Mid,Yes,30/03/1975,98000
Ms. Lori Macdonald,816-992-1605,2,Bsc,Tier2,Junior,Yes,30/07/1999,64500
Corey Whitney,895-110-1456,4,PhD,Tier1,Senior,Yes,11/06/1995,127500
Mrs. April Smith MD,134-562-4877,1,PhD,Tier2,Mid,No,19/04/1988,95000
Michael Garcia,340-995-2864,3,Bsc,Tier1,Mid,Yes,26/12/1986,82000
James Hicks,457-272-0458,1,Bsc,Tier1,Junior,Yes,14/07/1984,56500
Benjamin Hinton,122-006-8879,5,Msc,Tier2,Senior,Yes,25/04/2002,123500
Corey Adams,673-984-0439,5,Msc,Tier1,Senior,Yes,23/07/1982,119500
Alyssa Watson,486-576-9615,1,Bsc,Tier2,Junior,Yes,10/06/1998,60500
Paul Jackson,956-383-4712,2,PhD,Tier2,Mid,Yes,11/06/1998,106000
Michael Curry,651-904-7881,5,Msc,Tier1,Senior,No,02/07/1991,112500
Christopher Aguirre,375-500-8085,5,PhD,Tier1,Senior,No,15/11/1994,124500
Elizabeth Howe,883-701-8013,1,Bsc,Tier2,Junior,No,03/12/2003,53500
Jose Adams,101-510-2656,4,Bsc,Tier1,Senior,Yes,10/04/1991,103500
Bryan Sanchez,621-617-2982,5,Bsc,Tier3,Senior,Yes,07/09/1989,117500
Brittany Burke,802-306-8873,1,Bsc,Tier3,Junior,No,14/08/2019,59500
Dalton Miller,724-330-1127,3,Bsc,Tier3,Mid,Yes,27/09/1980,92000
Jason Thompson,265-383-8661,2,Bsc,Tier1,Junior,Yes,28/03/2016,60500
Richard Garza,656-436-2037,3,PhD,Tier2,Mid,No,28/12/1984,103000
Kelly Phillips,548-442-2582,3,Msc,Tier1,Mid,Yes,02/07/2001,94000
Adam Burke,700-693-7205,4,Msc,Tier2,Senior,Yes,28/05/1974,119500
Matthew Sexton,702-746-8081,5,Bsc,Tier1,Senior,Yes,10/02/2010,107500
Erin Jennings,411-686-3551,3,Bsc,Tier1,Junior,No,07/06/2011,57500
Tracy Dyer,440-779-9769,5,PhD,Tier2,Senior,Yes,18/07/2015,135500
Cheryl Singh,373-807-8023,1,PhD,Tier1,Junior,Yes,05/05/1995,80500
Morgan Salinas,355-419-2082,5,Bsc,Tier3,Senior,Yes,09/10/1985,117500
Jose Gardner,557-969-5660,4,Bsc,Tier3,Senior,Yes,10/10/1985,113500
Ricardo Walker,740-183-9013,5,Msc,Tier1,Senior,No,01/05/1975,112500
Kimberly Barrera,381-660-9629,1,Bsc,Tier3,Junior,Yes,25/03/1997,66500
Steven Martin,881-912-7601,2,PhD,Tier1,Mid,Yes,26/03/1997,102000
Eric Taylor,874-969-5189,5,PhD,Tier2,Senior,Yes,23/02/1995,135500
John Roberts,895-902-2827,4,PhD,Tier2,Senior,No,24/02/1995,124500
Morgan Perez,392-951-0998,5,Bsc,Tier3,Senior,No,02/06/1998,110500
Nicole Bright,643-852-1334,4,PhD,Tier2,Senior,Yes,27/10/2004,131500
Emily Castillo,545-724-4767,4,Msc,Tier3,Senior,Yes,16/05/1990,125500
Abigail House,295-134-1618,2,Msc,Tier2,Junior,No,30/11/2001,69500
Justin Adams,479-492-2645,3,Msc,Tier3,Junior,No,29/11/1974,79500
Sarah Rubio,952-257-1708,3,Bsc,Tier3,Junior,No,27/11/2006,67500
Timothy Bishop,143-007-4484,2,Msc,Tier1,Junior,No,23/11/1976,65500
Rachel Ellis,767-614-5474,1,Bsc,Tier1,Junior,No,25/03/1974,49500
Paul Rowe,298-111-2196,5,Bsc,Tier2,Senior,Yes,23/01/1990,111500
Angela Mendoza,469-981-3402,2,PhD,Tier1,Junior,Yes,26/06/1974,84500
Lauren Lewis,164-539-4796,1,Msc,Tier2,Junior,Yes,27/06/1974,72500
Douglas Mora,291-189-6849,4,PhD,Tier2,Senior,No,06/01/1999,124500
Jeffrey Turner,411-884-5206,4,Msc,Tier1,Senior,Yes,27/05/2002,115500
Miss Jamie Mitchell DDS,580-059-9986,1,Bsc,Tier1,Junior,Yes,23/03/1994,56500
John Wilson,851-687-1189,5,Msc,Tier2,Senior,No,13/02/2001,116500
Anna Johnson,230-334-3345,4,Bsc,Tier1,Senior,No,27/02/1976,96500
Brent Bennett,589-271-4426,4,Msc,Tier2,Senior,No,27/11/1988,112500
Jesse Martin,431-864-0720,3,PhD,Tier2,Junior,Yes,29/12/1978,92500
Joseph Schwartz,619-821-7208,2,Bsc,Tier3,Mid,Yes,27/10/2012,88000
Tara Newton,916-946-4615,1,PhD,Tier2,Junior,Yes,03/06/1999,84500
William Carter,256-360-4839,2,Msc,Tier1,Junior,Yes,26/09/1970,72500
Richard Martinez,163-907-0542,3,Msc,Tier2,Mid,No,25/11/1970,91000
Richard Long,417-625-5965,2,Bsc,Tier1,Mid,Yes,03/08/1987,78000
Shannon Brown,835-500-8055,5,Bsc,Tier3,Senior,No,26/08/1984,110500
Katherine Scott,441-237-1746,5,Bsc,Tier1,Senior,No,27/08/1984,100500
Katherine Cook,657-054-4369,2,Msc,Tier2,Junior,Yes,28/08/1984,76500
Lori Garcia,860-230-7451,5,PhD,Tier3,Senior,No,29/08/1984,134500
Larry Schultz,404-144-0034,5,Msc,Tier1,Senior,Yes,28/01/1978,119500
Ricardo Mosley,116-499-4038,3,PhD,Tier2,Junior,No,24/05/2010,85500
James Davenport,389-771-2426,2,PhD,Tier2,Mid,Yes,17/06/2005,106000
Angela Clark,610-326-8007,5,Bsc,Tier2,Senior,No,05/12/1987,104500
Erik Hughes,666-451-1750,5,Bsc,Tier3,Senior,No,06/05/1989,110500
Christine Banks,179-440-0063,5,Msc,Tier1,Senior,Yes,13/04/1978,119500
Bruce Gonzalez,523-661-1686,5,Msc,Tier2,Senior,No,04/02/2003,116500
Mary Williams,375-441-2260,5,Msc,Tier2,Senior,No,27/04/1987,116500
Benjamin Wilson,893-420-4832,4,Bsc,Tier2,Senior,No,10/12/1990,100500
Jason Martinez,819-453-2027,5,Msc,Tier3,Senior,No,19/12/1995,122500
Ryan Chandler,672-186-8101,5,Msc,Tier1,Senior,No,01/01/1993,112500
Valerie Johnson,803-998-8472,3,PhD,Tier2,Mid,Yes,02/01/1993,110000
Connie Smith,620-879-1044,5,Bsc,Tier3,Senior,Yes,03/01/1993,117500
Erin Blair,936-932-1432,1,Bsc,Tier1,Junior,No,04/01/1993,49500
Mark Contreras,535-906-9196,4,Bsc,Tier1,Senior,No,05/01/1993,96500
Deborah Ferguson,177-106-0697,2,Bsc,Tier1,Mid,Yes,06/01/1993,78000
Peter White,719-477-2903,1,Bsc,Tier2,Junior,No,07/01/1993,53500
Philip Russo,517-131-6399,4,Bsc,Tier1,Senior,No,08/01/1993,96500
April Barrett,783-958-0360,2,Bsc,Tier1,Mid,No,09/01/1993,71000
Glen Hall,117-765-0172,1,Msc,Tier1,Junior,No,10/01/1993,61500
Pamela Sanchez,354-264-0499,2,Bsc,Tier3,Mid,Yes,11/01/1993,88000
Adam Graham,107-988-5466,3,PhD,Tier2,Mid,No,12/01/1993,103000
Christopher Brown,376-543-7355,3,Msc,Tier1,Junior,Yes,26/08/2001,76500
Emily Brown,553-413-5579,5,Bsc,Tier1,Senior,Yes,08/02/1980,107500
Mrs. Audrey Ware,578-962-7818,5,PhD,Tier3,Senior,No,11/10/1998,134500
Amanda Cooper,481-825-6149,4,Msc,Tier2,Senior,No,06/04/1993,112500
